posicao_ranking,Artista,Musica,Observacao,prob_aparecer,prob_posicao_exata,posicao_prevista,forca_musica,dropout_score,streak_anos
1,Pink Floyd,Another Brick in the Wall,,0.9732638813881931,0.33347037348682895,16.873107397950392,1.0,0.0,25
2,Deep Purple,Smoke on the Water,,0.9798933044936317,0.33574181933132036,26.237746311593273,1.0,0.0,25
3,Iron Maiden,Fear of the Dark,,0.9851701450128958,0.3375498284565327,37.90742093023226,0.8999999999999999,0.0,17
4,Eagles,Hotel California,,0.960140248967138,0.3289738102333863,20.35387446335197,1.0,0.0,25
5,Led Zeppelin,Kashmir,,0.9708169034218781,0.3326319629879443,36.67384606069113,1.0,0.0,25
6,Metallica,One,,0.9664976769406054,0.3311520621147815,33.376689465897876,0.8799999999999999,0.0,14
7,Queen,Bohemian Rhapsody,,0.9398615357647577,0.3220256945221727,8.145714285714286,1.0,0.0,25
8,Led Zeppelin,Stairway to Heaven,,0.9410964691747872,0.32244882098699795,17.599249999999998,1.0,0.0,25
9,Iron Maiden,The Number of the Beast,,0.9687194039299761,0.3319132946469848,54.94568214650938,0.9199999999999999,0.0,16
10,Rush,Tom Sawyer,,0.9665930599714008,0.3311847432976671,53.33086196291399,1.0,0.0,25
11,The Beatles,Help!,,0.9507675693544438,0.3257624396783016,54.255462218474705,0.98,0.0,24
12,Pink Floyd,Wish You Were Here,,0.9621446207843637,0.3296605701463745,67.68837535363129,0.94,0.0,16
13,AC/DC,T.N.T.,,0.9084548301255156,0.31126478367385196,34.99587313462217,0.8599999999999999,0.0,17
14,Guns N' Roses,Sweet Child O' Mine,,0.9337524953819611,0.31993254792847436,61.59762162773905,0.9199999999999999,0.0,16
15,The Rolling Stones,(I Can't Get No) Satisfaction,,0.886449942213451,0.303725227001816,27.718264477132006,1.0,0.0,25
16,Dire Straits,Sultans of Swing,,0.9221204361213236,0.3159470438732606,66.30923097263931,0.98,0.0,8
17,Queen,We Are the Champions,,0.9087906207655477,0.31137983595544405,62.882242722698486,0.8999999999999999,0.0,6
18,Black Sabbath,Paranoid,,0.8924768921300191,0.3057902468572715,47.970755702650166,0.98,0.0,21
19,The Who,Baba O'Riley,,0.9378785531212178,0.32134626320307763,96.96818638289537,0.8200000000000001,0.0,1
20,AC/DC,Highway to Hell,,0.9496405008801236,0.3253762710838802,110.04027651569992,0.96,0.0,21
21,Journey,Don't Stop Believin',,0.95154636185232,0.3260292781278751,120.61646816110373,1.0,0.0,25
22,Metallica,The Unforgiven,,0.9659853172864604,0.330976511815942,136.21268495409547,0.8599999999999999,0.0,10
23,Pearl Jam,Black,,0.8768815945687981,0.3004468145139682,50.56059735286129,0.9199999999999999,0.0,10
24,Led Zeppelin,Rock and Roll,,0.9139892692549523,0.31316105406755135,87.97313429190972,0.78,0.0,2
25,Dio,Rainbow in the Dark,,0.9609927370833466,0.32926589908610293,136.917560097816,0.96,0.0,21
26,Alice in Chains,Man in the Box,,0.9523805851673023,0.32631510889354753,135.3249210820947,0.8999999999999999,0.0,17
27,The Beatles,Hey Jude,,0.9146190649481927,0.3133768415934849,99.01760727186605,0.86,0.0,4
28,Kiss,Detroit Rock City,,0.9231222570307983,0.3162902987697363,120.86348792709174,0.78,0.0,1
29,Pink Floyd,Comfortably Numb,,0.882396147503195,0.30233627128084556,81.14463138987922,0.76,0.0,1
30,Metallica,Nothing Else Matters,,0.9355140540697111,0.3205361125369597,140.80646321184565,0.8599999999999999,0.0,6
31,Kiss,Rock and Roll All Nite,,0.8805146310786187,0.3016916054334598,92.73572361400382,0.8600000000000001,0.0,2
32,The Doors,Light My Fire,,0.8395503331034015,0.2876559671994207,53.48145435310432,0.92,0.0,4
33,Eric Clapton,Cocaine,,0.9152155395722119,0.3135812122882685,129.65819270460628,1.0,0.0,25
34,Aerosmith,Dream On,,0.8372947798327828,0.2868831447347672,59.34939006031499,0.84,0.0,3
35,Bon Jovi,Livin' on a Prayer,,0.9717633667589458,0.33295625066422524,194.90764947212497,0.8400000000000001,0.0,17
36,Metallica,Enter Sandman,,0.8662014269008735,0.2967874580236761,99.76855945432713,0.8400000000000001,0.0,16
37,AC/DC,Back in Black,,0.8840260671004075,0.30289473225656854,118.50065636591452,0.98,0.0,21
38,Steppenwolf,Born to Be Wild,,0.9245983342017111,0.3167960485616403,163.79207469439004,0.8,0.0,1
39,Nirvana,Smells Like Teen Spirit,,0.8800773072003284,0.30154176471727073,120.3000337487231,0.8999999999999999,0.0,17
40,Judas Priest,Breaking the Law,,0.9153123573765654,0.31361438506904804,170.53103297749414,0.8400000000000001,0.0,16
41,Lynyrd Skynyrd,Simple Man,,0.8530411711754627,0.2922783464909689,112.46659336903109,0.8999999999999999,0.0,20
42,Yes,Owner of a Lonely Heart,,0.8978169765940748,0.3076199253183071,159.46491356047497,1.0,0.0,25
43,Nirvana,Come as You Are,,0.8665395449665516,0.2969033077534365,131.25258346261884,0.8799999999999999,0.0,10
44,Ramones,Pet Sematary,,0.9129709008952661,0.312812129501721,187.36331824808957,0.96,0.0,23
45,Rage Against the Machine,Killing in the Name,,0.890522195045866,0.30512050704757426,166.34004878787601,0.7,0.0,7
46,Bruce Dickinson,Tears of the Dragon,,0.8742296350896531,0.2995381709950892,152.3427550544167,0.8999999999999999,0.0,8
47,Bon Jovi,It's My Life,,0.8675457280844292,0.29724805727772396,152.00454203273068,0.74,0.0,7
48,U2,Sunday Bloody Sunday,,0.8786966333444992,0.3010687030582783,176.95554473827974,1.0,0.0,25
49,The Jimi Hendrix Experience,Foxy Lady,,0.8730696747339379,0.2991407326225704,177.95203051122266,0.86,0.0,4
50,Bruce Springsteen,Born in the U.S.A.,,0.8770253793357009,0.30049607963192615,185.0118006946626,0.98,0.0,16
51,The Rolling Stones,Start Me Up,,0.8554641937675715,0.293108549136119,163.91495818125867,0.94,0.0,16
52,AC/DC,Hells Bells,,0.8747874304618065,0.2997292889792642,184.48167594645062,0.72,0.0,1
53,Whitesnake,Love Ain't No Stranger,,0.8722103427614855,0.2988462988525694,182.74533343310873,0.98,0.0,20
54,U2,New Year's Day,,0.8820799510186084,0.3022279325642583,193.49264944860218,0.96,0.0,14
55,David Bowie,"""Heroes""",,0.8271309286651276,0.2834006942814449,146.25422370176614,0.8999999999999999,0.0,14
56,Whitesnake,Is This Love,,0.9176160832902975,0.31440371297441305,238.66840211874307,0.98,0.0,24
57,Motörhead,Ace of Spades,,0.7871749717274101,0.2697105449418437,109.64886602746405,0.8400000000000001,0.0,10
58,Jethro Tull,Aqualung,,0.8138443059125762,0.27884828548831025,138.02752362603488,0.9400000000000001,0.0,4
59,Ozzy Osbourne,No More Tears,,0.8182172439111595,0.28034658959216996,143.5389123894499,0.9199999999999999,0.0,11
60,Black Sabbath,Iron Man,,0.7974686870327323,0.2732374908740577,126.38865546543262,0.96,0.0,17
61,Pink Floyd,Money,,0.8484558377208749,0.29070726912037737,181.76366840024068,0.96,0.0,6
62,The Rolling Stones,Gimme Shelter,,0.8008923025317903,0.2744105276639545,138.25536034127967,0.8799999999999999,0.0,9
63,Alice Cooper,No More Mr. Nice Guy,,0.8739037865685821,0.29942652519162355,217.20895075880452,1.0,0.0,25
64,Peter Frampton,Breaking All the Rules,,0.8021965326465663,0.27485739732777764,152.46140264514938,0.96,0.0,11
65,Wings,Band on the Run,,0.7977165096099921,0.27332240257064644,149.64631879873534,0.78,0.0,2
66,Bob Dylan,Hurricane,,0.8408378555929127,0.28809711231295104,200.92388633367938,0.94,0.0,17
67,Red Hot Chili Peppers,Give It Away,,0.8048476019736381,0.2757657358529648,171.42758738669983,0.7,0.0,2
68,The Beatles,Twist and Shout,,0.7886758929878733,0.27022480708890606,155.45228870747061,0.7799999999999999,0.0,3
69,Elvis Presley,Blue Suede Shoes,,0.81285954690824,0.2785108765293935,179.73332991437942,0.82,0.0,4
70,AC/DC,Thunderstruck,,0.789887730725896,0.27064002026061806,157.44594760525376,0.8400000000000001,0.0,13
71,Ramones,Poison Heart,,0.7660115406365672,0.2624592974589308,134.55414264101998,0.9199999999999999,0.0,13
72,Survivor,Eye of the Tiger,,0.7998298112332107,0.2740464852116049,168.4104263685459,0.8999999999999999,0.0,5
73,Dire Straits,Money for Nothing,,0.8149244668606482,0.2792183821102724,184.8683607243681,0.8200000000000001,0.0,1
74,Grand Funk Railroad,We're an American Band,,0.8245424307332604,0.2825137946557458,196.97027222016715,0.94,0.0,5
75,The Animals,The House of the Rising Sun,,0.7780733421693157,0.2665920445370537,152.16681234164093,0.88,0.0,4
76,Queen,Love of My Life,,0.8107182833491612,0.27777721326248866,184.88657761913916,0.9199999999999999,0.0,8
77,Stone Temple Pilots,Plush,,0.8315803357078722,0.284925199050103,207.0847424652706,0.8999999999999999,0.0,9
78,Aerosmith,Crazy,,0.8249688102484031,0.2826598854938841,203.85628298852356,0.8400000000000001,0.0,12
79,Janis Joplin,Mercedes Benz,,0.7742067671080657,0.2652672360709769,156.6359779460969,0.96,0.0,7
80,Bad Religion,American Jesus,,0.8170064284012468,0.279931726667494,202.83489625055728,0.8400000000000001,0.0,15
81,Van Halen,Jump,,0.7743704185108156,0.2653233081141712,167.69999277518235,0.8200000000000001,0.0,1
82,Led Zeppelin,Immigrant Song,,0.7983830694852938,0.27355078664491334,194.19718736885133,0.8999999999999999,0.0,17
83,The Smiths,Ask,,0.8065723489602474,0.2763566876316073,202.8046921146228,0.8999999999999999,0.0,9
84,Oasis,Wonderwall,,0.7633122273788915,0.2615344290677282,160.1687515279427,0.7999999999999999,0.0,3
85,Iggy Pop,Candy,featuring Kate Pierson,0.8211480876050816,0.2813507874874517,218.68921010733462,0.8799999999999999,0.0,8
86,Led Zeppelin,Black Dog,,0.8017056778677423,0.2746892152657979,199.39453810319068,0.8,0.0,1
87,Pink Floyd,Time,,0.7803366958146749,0.26736753965187726,180.13569210408505,0.8,0.0,1
88,The Who,Pinball Wizard,,0.7874592671918798,0.26980795338012054,193.12763284382888,0.74,0.0,1
89,Deep Purple,Burn,,0.7144609804941108,0.24479647766987137,122.86387093641184,0.71,0.024,0
90,Iron Maiden,The Trooper,,0.759841991265875,0.26034541861041577,170.27122546779,0.7,0.0,8
91,Creedence Clearwater Revival,Have You Ever Seen the Rain?,,0.7944893792034474,0.27221668766378465,213.2155584562812,0.75,0.008000000000000007,0
92,The Police,Roxanne,,0.7992347783195154,0.2738426084914662,219.4608264548141,0.7,0.0,1
93,Queensrÿche,Silent Lucidity,,0.7926279336617319,0.27157889872299307,214.93748032613567,0.86,0.0,4
94,Queen,Radio Ga Ga,,0.7738369466113542,0.26514052410568173,199.01909458343104,0.8799999999999999,0.0,9
95,Queen and David Bowie,Under Pressure,,0.7930481193708403,0.271722867371198,218.63679502399734,0.94,0.0,19
96,Pearl Jam,Alive,,0.7470414002922956,0.2559595393700157,176.33154624168935,0.74,0.0,1
97,The Cure,Friday I'm in Love,,0.7612530248804211,0.2608288824637892,191.81781092238475,0.7,0.0,1
98,Black Sabbath,Heaven and Hell,,0.7194392322324092,0.24650218102353325,153.124064480999,0.64,0.0,1
99,David Bowie,Starman,,0.7460998437375208,0.2556369329094411,180.01660323063504,0.74,0.0,1
100,Led Zeppelin,Whole Lotta Love,,0.7579566128058913,0.2596994295099901,192.87544496311574,0.78,0.0,1
101,Queen,Don't Stop Me Now,,0.7602085715254673,0.260471020370038,196.01386441553166,0.78,0.0,4
102,Elvis Presley,Suspicious Minds,,0.6929428181374738,0.23742368825988822,133.88022489199938,0.63,0.05600000000000001,0
103,The Cure,Boys Don't Cry,,0.6976792039050769,0.2390465208350039,140.50898511274542,0.98,0.0,15
104,U2,One,,0.72890634562718,0.24974590751946926,172.39980703198395,0.8799999999999999,0.0,12
105,Bob Dylan,Like a Rolling Stone,,0.6965632608084037,0.23866416413981156,141.14206323235646,0.78,0.0,2
106,Black Sabbath,N.I.B.,,0.7141744335179235,0.24469829779389116,159.31013674470736,0.74,0.0,1
107,R.E.M.,Losing My Religion,,0.7546183836771545,0.2585556487372394,202.67391050325057,0.74,0.0,1
108,Ozzy Osbourne,"Mama, I'm Coming Home",,0.7751674612692651,0.26559639966871035,223.962488509655,0.74,0.0,1
109,Echo & the Bunnymen,The Killing Moon,,0.7520045766320456,0.2576600774248511,209.50231272149136,0.8999999999999999,0.0,11
110,The Who,Behind Blue Eyes,,0.7452803391781911,0.25535614524568434,203.71165831275695,0.7,0.0,1
