ID_Musica,Artista,Musica,Genero,Pais,prob_aparicao_raw,prob_aparicao,posicao_prevista,posicao_min,posicao_max,num_aparicoes_historicas,melhor_posicao_historica,posicao_media_historica,apareceu_ano_anterior,posicao_ano_anterior,frequencia_aparicao,streak_anos,anos_desde_primeira,aparicao_unica,forca_musica,anos_desde_ultima
Iron Maiden|||The Trooper|||NONE,Iron Maiden,The Trooper,Heavy metal,Reino Unido,0.9121352848424087,0.99,83,1,233,10,1,128.9,1,1.0,0.6666666666666666,5,14,0,8,0
Journey|||Don't Stop Believin'|||NONE,Journey,Don't Stop Believin',Hard rock,Estados Unidos,0.7649118002241617,0.99,176,26,326,25,14,125.88,1,74.0,1.0,5,24,0,8,0
Kings of Leon|||Sex on Fire|||NONE,Kings of Leon,Sex on Fire,Rock alternativo,Estados Unidos,0.767969902407735,0.99,311,161,461,11,116,283.54545454545456,1,116.0,0.7333333333333333,5,14,0,7,0
Led Zeppelin|||Stairway to Heaven|||NONE,Led Zeppelin,Stairway to Heaven,Hard rock,Reino Unido,0.9348746915433188,0.99,20,1,65,25,1,2.8,1,2.0,1.0,5,24,0,8,0
Queen|||Another One Bites the Dust|||NONE,Queen,Another One Bites the Dust,Rock,Reino Unido,0.765097836159593,0.99,198,48,348,18,37,180.77777777777777,1,119.0,0.72,3,24,0,8,0
"Ozzy Osbourne|||Mama, I'm Coming Home|||NONE",Ozzy Osbourne,"Mama, I'm Coming Home",Heavy metal,Reino Unido,0.8334015890247709,0.99,178,29,327,20,76,216.35,1,120.0,0.9090909090909091,1,21,0,6,0
The Cure|||Boys Don't Cry|||NONE,The Cure,Boys Don't Cry,Pós-punk,Reino Unido,0.7487298458324209,0.99,153,3,303,24,33,190.625,1,122.0,0.96,5,24,0,8,0
Pearl Jam|||Black|||NONE,Pearl Jam,Black,Grunge,Estados Unidos,0.9137726638758784,0.99,62,1,151,21,4,66.57142857142857,1,123.0,0.9545454545454546,5,21,0,8,0
The Black Crowes|||Remedy|||NONE,The Black Crowes,Remedy,Hard rock,Estados Unidos,0.7604969091597762,0.99,174,24,324,14,36,214.42857142857142,1,127.0,0.7,3,19,0,8,0
The Cure|||Friday I'm in Love|||NONE,The Cure,Friday I'm in Love,Pós-punk,Reino Unido,0.7907333945266444,0.99,213,70,356,18,83,222.38888888888889,1,128.0,0.8181818181818182,1,21,0,6,0
U2|||Beautiful Day|||NONE,U2,Beautiful Day,Rock,Irlanda,0.7167754866035145,0.99,324,174,474,10,130,377.0,1,130.0,0.7692307692307693,3,12,0,7,0
Ozzy Osbourne|||No More Tears|||NONE,Ozzy Osbourne,No More Tears,Heavy metal,Reino Unido,0.8665602044182498,0.99,139,1,279,21,15,131.66666666666666,1,131.0,0.9130434782608695,5,22,0,8,0
U2|||I Still Haven't Found What I'm Looking For|||NONE,U2,I Still Haven't Found What I'm Looking For,Rock,Irlanda,0.7446593383903779,0.99,171,21,321,14,41,238.35714285714286,1,135.0,0.56,3,24,0,8,0
Elvis Presley|||Blue Suede Shoes|||NONE,Elvis Presley,Blue Suede Shoes,Rock and roll,Estados Unidos,0.6653134708197771,0.99,185,35,335,18,14,212.0,1,140.0,0.75,4,23,0,8,0
The Rolling Stones|||Gimme Shelter|||NONE,The Rolling Stones,Gimme Shelter,Rock,Reino Unido,0.7418538110116295,0.99,171,21,321,19,8,145.26315789473685,1,151.0,0.7916666666666666,5,23,0,8,0
Queen|||Radio Ga Ga|||NONE,Queen,Radio Ga Ga,Rock,Reino Unido,0.7118176909839535,0.99,206,56,356,19,66,217.05263157894737,1,152.0,0.7916666666666666,5,23,0,8,0
Jethro Tull|||Aqualung|||NONE,Jethro Tull,Aqualung,Rock progressivo,Reino Unido,0.7085733652479184,0.99,201,51,351,24,8,85.58333333333333,1,154.0,0.96,4,24,0,8,0
Red Hot Chili Peppers|||Californication|||NONE,Red Hot Chili Peppers,Californication,Rock,Estados Unidos,0.9046258473521633,0.99,129,1,279,13,31,171.30769230769232,1,113.0,0.8125,1,15,0,6,0
Rush|||Time Stand Still|||NONE,Rush,Time Stand Still,Rock progressivo,Canadá,0.7136628061767487,0.99,176,26,326,21,48,213.52380952380952,1,108.0,0.875,2,23,0,8,0
Bon Jovi|||It's My Life|||NONE,Bon Jovi,It's My Life,Rock,Estados Unidos,0.9577099092297372,0.99,142,50,234,12,41,111.25,1,107.0,0.8,5,14,0,8,0
Ramones|||Pet Sematary|||NONE,Ramones,Pet Sematary,Punk rock,Estados Unidos,0.775183104401324,0.99,155,38,272,23,9,94.82608695652173,1,87.0,1.0,5,22,0,8,0
Alice Cooper|||No More Mr. Nice Guy|||NONE,Alice Cooper,No More Mr. Nice Guy,Hard rock,Estados Unidos,0.7480161382548451,0.99,289,139,439,25,30,165.08,1,81.0,1.0,5,24,0,8,0
The Offspring|||Come Out and Play|||NONE,The Offspring,Come Out and Play,Punk rock,Estados Unidos,0.7271049544063745,0.99,265,115,415,6,76,252.83333333333334,1,82.0,0.75,2,7,0,8,0
Lynyrd Skynyrd|||Simple Man|||NONE,Lynyrd Skynyrd,Simple Man,Southern rock,Estados Unidos,0.7537470498827862,0.99,270,120,420,20,13,103.9,1,83.0,1.0,5,19,0,8,0
Kiss|||Rock and Roll All Nite|||NONE,Kiss,Rock and Roll All Nite,Hard rock,Estados Unidos,0.7176789175416988,0.99,144,52,235,24,7,70.0,1,84.0,0.96,2,24,0,8,0
Oasis|||Wonderwall|||NONE,Oasis,Wonderwall,Rock alternativo,Reino Unido,0.8074815740984,0.99,191,41,341,19,57,229.68421052631578,1,85.0,0.8636363636363636,3,21,0,8,0
Genesis|||Mama|||NONE,Genesis,Mama,Rock progressivo,Reino Unido,0.8546592107695341,0.99,230,80,380,25,18,162.68,1,86.0,1.0,5,24,0,8,0
The Doors|||Light My Fire|||NONE,The Doors,Light My Fire,Rock psicodélico,Estados Unidos,0.6876636574963847,0.99,111,48,174,23,6,40.78260869565217,1,88.0,0.92,4,24,0,8,0
Faith No More|||Epic|||NONE,Faith No More,Epic,Metal alternativo,Estados Unidos,0.8390101836830159,0.99,201,51,351,17,56,214.64705882352942,1,101.0,0.8095238095238095,1,20,0,6,0
Dio|||Rainbow in the Dark|||NONE,Dio,Rainbow in the Dark,Heavy metal,Estados Unidos,0.8117854689598935,0.99,168,80,257,23,17,104.26086956521739,1,89.0,0.9583333333333334,5,23,0,8,0
The Animals|||The House of the Rising Sun|||NONE,The Animals,The House of the Rising Sun,Rock psicodélico,Reino Unido,0.7266750873431679,0.99,265,115,415,21,17,144.57142857142858,1,91.0,0.84,4,24,0,8,0
Rage Against the Machine|||Killing in the Name|||NONE,Rage Against the Machine,Killing in the Name,Rap metal,Estados Unidos,0.8682418059454099,0.99,231,81,381,10,92,204.9,1,93.0,0.5263157894736842,5,18,0,8,0
Foo Fighters|||Everlong|||NONE,Foo Fighters,Everlong,Rock,Estados Unidos,0.7830990534542549,0.99,211,61,361,10,83,281.2,1,95.0,0.7142857142857143,5,13,0,8,0
Ramones|||Poison Heart|||NONE,Ramones,Poison Heart,Punk rock,Estados Unidos,0.7862730448812922,0.99,165,15,315,21,21,176.57142857142858,1,96.0,0.9130434782608695,5,22,0,8,0
Queen and David Bowie|||Under Pressure|||NONE,Queen and David Bowie,Under Pressure,Rock,Reino Unido,0.7653997764920237,0.99,190,40,340,22,37,139.5,1,99.0,0.9166666666666666,5,23,0,8,0
Aerosmith|||Crazy|||NONE,Aerosmith,Crazy,Hard rock,Estados Unidos,0.8565763503970595,0.99,216,66,366,17,71,222.35294117647058,1,175.0,0.85,5,19,0,8,0
Stone Temple Pilots|||Plush|||NONE,Stone Temple Pilots,Plush,Grunge,Estados Unidos,0.6885654126397693,0.99,192,48,337,20,63,249.95,1,176.0,0.9090909090909091,5,21,0,8,0
The Bolshoi|||Sunday Morning|||NONE,The Bolshoi,Sunday Morning,Pós-punk,Reino Unido,0.6901892140347118,0.99,275,125,425,19,88,290.6842105263158,1,179.0,0.8636363636363636,4,21,0,8,0
U2|||One|||NONE,U2,One,Rock,Irlanda,0.7177664530543582,0.99,197,47,347,19,19,200.89473684210526,1,344.0,0.8636363636363636,5,21,0,8,0
U2|||New Year's Day|||NONE,U2,New Year's Day,Rock,Irlanda,0.6530779264209532,0.99,175,25,325,23,64,230.82608695652175,1,295.0,0.92,5,24,0,8,0
Guns N' Roses|||Paradise City|||NONE,Guns N' Roses,Paradise City,Hard rock,Estados Unidos,0.7582705632362727,0.99,197,54,340,15,77,212.33333333333334,1,299.0,0.7894736842105263,2,18,0,8,0
The Verve|||Bitter Sweet Symphony|||NONE,The Verve,Bitter Sweet Symphony,Rock alternativo,Reino Unido,0.7640906454022476,0.99,281,131,431,20,166,321.25,1,300.0,0.9523809523809523,5,20,0,7,0
Green Day|||Basket Case|||NONE,Green Day,Basket Case,Punk rock,Estados Unidos,0.73489025727645,0.99,310,160,460,11,52,302.0,1,326.0,0.5789473684210527,2,18,0,8,0
Peter Gabriel|||Sledgehammer|||NONE,Peter Gabriel,Sledgehammer,Rock progressivo,Reino Unido,0.6734318718179381,0.99,275,125,425,16,46,287.25,1,334.0,0.64,5,24,0,8,0
Foo Fighters|||Times Like These|||NONE,Foo Fighters,Times Like These,Rock,Estados Unidos,0.6820198573014783,0.99,289,139,439,9,54,263.0,1,339.0,1.0,5,8,0,8,0
Guns N' Roses|||Welcome to the Jungle|||NONE,Guns N' Roses,Welcome to the Jungle,Hard rock,Estados Unidos,0.8359870514290941,0.99,118,39,198,16,24,98.5,0,,0.8421052631578947,0,18,0,6,2
Bruce Springsteen|||Born in the U.S.A.|||NONE,Bruce Springsteen,Born in the U.S.A.,Rock,Estados Unidos,0.6994857681966904,0.99,163,13,313,24,69,221.79166666666666,1,287.0,0.96,5,24,0,8,0
The Kinks|||You Really Got Me|||NONE,The Kinks,You Really Got Me,Rock,Reino Unido,0.6975696098894695,0.99,353,203,500,22,56,316.40909090909093,1,375.0,0.88,5,24,0,8,0
